date,country,GDP (Current USD)
1983-01-01,Argentina,109490000000.0
1984-01-01,Argentina,112988571428.571
1985-01-01,Argentina,88416666666.6667
1986-01-01,Argentina,106213829787.234
1987-01-01,Argentina,109029439252.336
1988-01-01,Argentina,126928000000.0
1989-01-01,Argentina,76629657863.6557
1989-01-01,Brazil,425595310393.455
1990-01-01,Brazil,461951781818.18
1990-01-01,Argentina,141352654305.163
1991-01-01,Brazil,407337837837.838
1991-01-01,Argentina,189719984268.485
1992-01-01,Brazil,390590371724.558
1992-01-01,Argentina,228778917308.17
1993-01-01,Brazil,438302216833.007
1993-01-01,Argentina,236741715015.015
1994-01-01,Brazil,546229749726.263
1994-01-01,Argentina,257440000000.0
1995-01-01,Brazil,769333050986.905
1995-01-01,Argentina,258031750000.0
1996-01-01,Brazil,850426432991.742
1996-01-01,Argentina,272149750000.0
1997-01-01,Argentina,292859000000.0
1997-01-01,Brazil,883206179730.462
1998-01-01,Argentina,298948250000.0
1998-01-01,Brazil,863710759256.435
1999-01-01,Brazil,599642024319.531
1999-01-01,Argentina,283523000000.0
2000-01-01,Brazil,655448231983.527
2000-01-01,Argentina,284203750000.0
2001-01-01,Argentina,268696750000.0
2001-01-01,Brazil,559983634798.981
2002-01-01,Brazil,509795273806.715
2002-01-01,Argentina,97724004251.8602
2003-01-01,Argentina,127586973492.177
2003-01-01,Brazil,558233745651.874
2004-01-01,Brazil,669289424806.307
2004-01-01,Argentina,164657930452.787
2005-01-01,Argentina,198737095012.282
2005-01-01,Brazil,891633839853.105
2006-01-01,Argentina,232557260817.308
2006-01-01,Brazil,1107626541710.74
2007-01-01,Brazil,1397114486471.38
2007-01-01,Argentina,287530508430.568
2008-01-01,Brazil,1695855083552.05
2008-01-01,Argentina,361558037110.419
2009-01-01,Argentina,332976484577.619
2009-01-01,Brazil,1666996438681.46
2010-01-01,Brazil,2208837745214.23
2010-01-01,Argentina,423627422092.49
2011-01-01,Argentina,530158122010.442
2011-01-01,Brazil,2616156223977.47
2012-01-01,Argentina,545982375701.128
2012-01-01,Brazil,2465227803011.57
2013-01-01,Brazil,2472819535742.73
2013-01-01,Argentina,552025140252.246
2014-01-01,Argentina,526319673731.638
2014-01-01,Brazil,2456043727198.85
2015-01-01,Brazil,1802212206904.68
2015-01-01,Argentina,594749285413.212
2016-01-01,Brazil,1795693482652.52
2016-01-01,Argentina,557532320662.955
2017-01-01,Brazil,2063514977334.32
2017-01-01,Argentina,643628393281.364
2018-01-01,Brazil,1916933898038.36
2018-01-01,Argentina,524819892360.176
2019-01-01,Brazil,1873288205186.45
2019-01-01,Argentina,447754683615.225
2020-01-01,Brazil,1476107231194.11
2020-01-01,Argentina,385740508436.965
2021-01-01,Brazil,1649622821885.14
2021-01-01,Argentina,487902572164.348
2022-01-01,Brazil,1920095779022.73
2022-01-01,Argentina,631133384439.944
