,values
2022-01-01,23.497938105643307
2022-01-02,26.489463449275245
2022-01-03,28.67960831569286
2022-01-04,30.644750452364903
2022-01-05,25.008378946260347
2022-01-06,24.330910398533014
2022-01-07,24.664501703173208
2022-01-08,25.935984795129176
2022-01-09,26.63782853061664
2022-01-10,28.28050097522805
2022-01-11,28.45421715063521
2022-01-12,26.663397771253877
2022-01-13,27.398398307555254
2022-01-14,23.273345995145753
2022-01-15,24.343858824468793
2022-01-16,25.349988483890346
2022-01-17,27.03761259001998
2022-01-18,24.6706127156877
2022-01-19,24.28329435510991
2022-01-20,19.622428085572032
2022-01-21,23.064778528898678
2022-01-22,24.45185673714242
2022-01-23,23.49516187469469
2022-01-24,23.181215231040778
2022-01-25,23.8569361083073
2022-01-26,20.4510887794524
2022-01-27,25.325119170559084
2022-01-28,22.49475588440886
2022-01-29,25.924671607900027
2022-01-30,23.985713291478376
2022-01-31,24.048340654783324
2022-02-01,28.486034961055704
2022-02-02,27.02421588890412
2022-02-03,23.95229041868733
2022-02-04,25.21222021189081
2022-02-05,26.938188609800406
2022-02-06,30.592486343542745
2022-02-07,32.52112576647946
2022-02-08,26.521612744458388
2022-02-09,28.72289233298424
2022-02-10,24.699884945246787
2022-02-11,25.423907582891694
2022-02-12,27.282485340725362
2022-02-13,25.92096481386675
2022-02-14,34.14146803629553
2022-02-15,31.617722427302
2022-02-16,25.93303716735977
2022-02-17,24.081964609246025
2022-02-18,20.54576089301459
2022-02-19,28.50526327533518
2022-02-20,25.002221283325554
2022-02-21,24.869895255480255
2022-02-22,26.332188950296217
2022-02-23,22.730266966831692
2022-02-24,19.72376740433384
2022-02-25,21.500417962715602
2022-02-26,23.138393965062036
2022-02-27,26.06961859479798
2022-02-28,27.99856097288513
2022-03-01,27.489550213467506
2022-03-02,27.934636305337385
2022-03-03,24.885673119659096
2022-03-04,27.812684000823456
2022-03-05,31.436679439841697
2022-03-06,27.621052225772683
2022-03-07,32.273073162697976
2022-03-08,27.896272806735578
2022-03-09,25.44164702645341
2022-03-10,30.563033940916043
2022-03-11,29.940474521541447
2022-03-12,30.044822099178916
2022-03-13,29.259234646079534
2022-03-14,33.160334029461666
2022-03-15,25.81364195738483
2022-03-16,26.370753433855953
2022-03-17,25.520499282961453
2022-03-18,26.906855829016898
2022-03-19,22.266934672025446
2022-03-20,20.232024495848435
2022-03-21,26.531161974503995
2022-03-22,25.504545577570543
2022-03-23,23.246423518233605
2022-03-24,19.95208476690831
2022-03-25,22.02444974927878
2022-03-26,20.746672308431574
2022-03-27,26.506773536952956
2022-03-28,28.225598139592364
2022-03-29,24.380347952147314
2022-03-30,20.664139056887286
2022-03-31,23.94684568267281
2022-04-01,24.83933639626254
2022-04-02,27.282521083800788
2022-04-03,32.23102379707866
2022-04-04,30.850402539478125
2022-04-05,34.14544765004911
2022-04-06,29.39179563973799
2022-04-07,25.648846383187298
2022-04-08,30.627129637725684
2022-04-09,29.762876950882138
2022-04-10,30.419290799158098
2022-04-11,32.1067347381603
2022-04-12,30.34676957746856
2022-04-13,24.818399893008102
2022-04-14,24.631316552034143
2022-04-15,28.44408524754651
2022-04-16,27.451855784919672
2022-04-17,29.337899799869206
2022-04-18,29.909951184166943
2022-04-19,29.84963786462272
2022-04-20,22.804605044939134
2022-04-21,21.245277847231065
2022-04-22,20.954148297081822
2022-04-23,23.055533230783563
2022-04-24,24.014923744572133
2022-04-25,26.346684810482557
2022-04-26,25.353225729039693
2022-04-27,25.3852745887745
2022-04-28,21.245485951637175
2022-04-29,23.268478059209997
2022-04-30,27.475187058849308
2022-05-01,30.36095892010487
2022-05-02,25.36035627598048
2022-05-03,28.323836162752027
2022-05-04,27.84834749945433
2022-05-05,23.67727029339413
2022-05-06,29.431813959963584
2022-05-07,32.78142460140307
2022-05-08,28.20102982643502
2022-05-09,29.36356397452322
2022-05-10,33.205301280601425
2022-05-11,31.60098718935626
2022-05-12,25.35402737713823
2022-05-13,25.864451366533224
2022-05-14,30.19904754269874
2022-05-15,29.38135057400222
2022-05-16,28.60722296281561
2022-05-17,31.152307165048768
2022-05-18,26.24762066945943
2022-05-19,20.407890734350012
2022-05-20,24.493530370077348
2022-05-21,22.391408468626675
2022-05-22,28.014606575482638
2022-05-23,28.77027745369715
2022-05-24,26.621325788308422
2022-05-25,26.014702678758592
2022-05-26,27.280626878794454
2022-05-27,25.58026249070273
2022-05-28,25.432724361445082
2022-05-29,26.116845218170653
2022-05-30,29.755022221297917
2022-05-31,26.79769113769364
2022-06-01,24.898477048037197
2022-06-02,26.386655094981656
2022-06-03,24.703056541677988
2022-06-04,27.70848691058019
2022-06-05,33.26405195828458
2022-06-06,31.972514826519866
2022-06-07,31.378064402934754
2022-06-08,30.22396601055337
2022-06-09,25.174930093070916
2022-06-10,29.606860737453683
2022-06-11,30.441774590299204
2022-06-12,31.476605782392824
2022-06-13,32.11575837478161
2022-06-14,25.441647411875998
2022-06-15,31.255891545847305
2022-06-16,25.139706873628946
2022-06-17,22.687699671858333
2022-06-18,26.8197040002022
2022-06-19,25.171893042325056
2022-06-20,27.88456501270172
2022-06-21,27.51580239353178
2022-06-22,21.95087318079364
2022-06-23,25.217431347779296
2022-06-24,24.325351885528434
2022-06-25,26.600091157075994
2022-06-26,28.662364698799294
2022-06-27,29.751368361097597
2022-06-28,30.448281148158028
2022-06-29,28.809406344868783
2022-06-30,27.62396488258392
2022-07-01,26.151392854978006
2022-07-02,30.432872134165812
2022-07-03,30.871350813001758
2022-07-04,29.9617857534527
2022-07-05,32.0830899391664
2022-07-06,28.879781877148808
2022-07-07,32.043992633314254
2022-07-08,30.104484332767896
2022-07-09,31.723694686326862
2022-07-10,34.51215141347548
2022-07-11,32.16304245696224
2022-07-12,30.957933518291693
2022-07-13,31.54178477559013
2022-07-14,24.786522044953788
2022-07-15,25.60242659819964
2022-07-16,28.028877183068033
2022-07-17,30.853031417829285
2022-07-18,29.646085015384042
2022-07-19,25.303299326353866
2022-07-20,23.69460836936263
2022-07-21,27.60589466634677
2022-07-22,25.125309911739915
2022-07-23,24.839551869067485
2022-07-24,26.821938374904732
2022-07-25,35.93227742041952
2022-07-26,30.438876822461573
2022-07-27,23.235928742996947
2022-07-28,25.072384295324856
2022-07-29,28.43824732941114
2022-07-30,28.649037834070498
2022-07-31,33.68550462839017
2022-08-01,35.93856491166817
2022-08-02,31.906244025187174
2022-08-03,31.231146027920946
2022-08-04,29.61089581350175
2022-08-05,32.37510471616244
2022-08-06,35.32341601310896
2022-08-07,35.776019399004554
2022-08-08,32.0170701618255
2022-08-09,34.37456982923666
2022-08-10,29.624159131537937
2022-08-11,32.75022386482321
2022-08-12,30.069114595705308
2022-08-13,32.21999254108607
2022-08-14,31.021544192768424
2022-08-15,30.781444927430236
2022-08-16,30.049112814531338
2022-08-17,26.867274140764867
2022-08-18,28.558537509087294
2022-08-19,23.153868221887468
2022-08-20,28.1376633464857
2022-08-21,27.046777685951295
2022-08-22,30.34838262307098
2022-08-23,24.100365744641213
2022-08-24,28.806408807315997
2022-08-25,24.92197214240687
2022-08-26,23.945634973223573
2022-08-27,29.973158691291772
2022-08-28,30.336374205700643
2022-08-29,32.304133487515195
2022-08-30,33.767319947038935
2022-08-31,28.01006133748391
2022-09-01,28.20074566262579
2022-09-02,30.70658577227568
2022-09-03,33.63310700839085
2022-09-04,32.929602562108535
2022-09-05,33.287130880279165
2022-09-06,35.354003748833705
2022-09-07,33.93267935508181
2022-09-08,33.442766904009595
2022-09-09,30.095500859527057
2022-09-10,26.63888616157275
2022-09-11,33.89065346370246
2022-09-12,34.1734551018761
2022-09-13,28.03412117859484
2022-09-14,28.809257942201775
2022-09-15,27.52055080550137
2022-09-16,27.513691202693213
2022-09-17,27.021176585918614
2022-09-18,29.332453143109163
2022-09-19,30.51747526770858
2022-09-20,24.571854907846397
2022-09-21,28.23083170432815
2022-09-22,24.745301318786865
2022-09-23,27.667265062104136
2022-09-24,26.685324968705466
2022-09-25,26.716777477937736
