,values
2022-01-01,20.0
2022-01-02,22.24183042482631
2022-01-03,23.3566403058654
2022-01-04,23.001617181283727
2022-01-05,21.75627027483696
2022-01-06,21.13136153356854
2022-01-07,21.733423944684517
2022-01-08,23.70443079401325
2022-01-09,25.601954351992507
2022-01-10,26.100374661695266
2022-01-11,24.60295305399677
2022-01-12,22.515337401330953
2022-01-13,21.183982817859565
2022-01-14,21.229734272456042
2022-01-15,21.75394030297647
2022-01-16,22.842195815362167
2022-01-17,22.501515968535863
2022-01-18,20.91997393900808
2022-01-19,20.524658031039927
2022-01-20,18.31726236814857
2022-01-21,17.290469059171734
2022-01-22,19.282376545677018
2022-01-23,21.050687777163464
2022-01-24,21.18352838033927
2022-01-25,19.489393711195543
2022-01-26,20.48068495280011
2022-01-27,17.184748109970727
2022-01-28,20.310788889839532
2022-01-29,21.64031146187841
2022-01-30,22.89630059880317
2022-01-31,24.756050886904884
2022-02-01,22.296883626039936
2022-02-02,23.90440733987613
2022-02-03,24.075073213186386
2022-02-04,23.344888613560162
2022-02-05,26.515077310562674
2022-02-06,24.41842475823805
2022-02-07,27.846956109142855
2022-02-08,25.618482747339744
2022-02-09,27.328858532104775
2022-02-10,24.95912148657529
2022-02-11,24.68830188275494
2022-02-12,25.645451544163947
2022-02-13,26.666104870438996
2022-02-14,28.355300858358778
2022-02-15,23.492612429441106
2022-02-16,24.823843203461443
2022-02-17,22.845161368784456
2022-02-18,23.452029593826804
2022-02-19,21.988609653449966
2022-02-20,26.12855859460315
2022-02-21,26.238289564058093
2022-02-22,24.019364991311328
2022-02-23,23.829150696746265
2022-02-24,19.643763076396404
2022-02-25,21.17733546139055
2022-02-26,26.389188581936615
2022-02-27,30.0999572749598
2022-02-28,22.70945320187387
2022-03-01,28.355454916848338
2022-03-02,22.112754314881496
2022-03-03,25.2869905116284
2022-03-04,24.398559670087877
2022-03-05,28.5816921394863
2022-03-06,29.42960649891415
2022-03-07,32.07252301024173
2022-03-08,32.03626301037177
2022-03-09,27.882740621991726
2022-03-10,29.652202298894213
2022-03-11,27.395797854797486
2022-03-12,31.515570690510792
2022-03-13,34.237067920016706
2022-03-14,31.388656622528103
2022-03-15,30.068666305653238
2022-03-16,21.819910324961555
2022-03-17,23.234472740844794
2022-03-18,23.519725964105497
2022-03-19,26.01575845922637
2022-03-20,23.232235800940714
2022-03-21,23.509052539057812
2022-03-22,26.022949004906106
2022-03-23,25.052416838973542
2022-03-24,26.50130113426794
2022-03-25,28.509522685344642
2022-03-26,27.321779009485894
2022-03-27,26.215298039181185
2022-03-28,30.699941104162534
2022-03-29,25.02616503739596
2022-03-30,27.464660992450312
2022-03-31,32.69872341234445
2022-04-01,32.74120319089641
2022-04-02,28.623052208208115
2022-04-03,35.5548113266102
2022-04-04,31.570160264884215
2022-04-05,30.184403355610524
2022-04-06,25.114826735779502
