,values
2022-01-01,23.672285213797785
2022-01-02,24.675346400524226
2022-01-03,27.94877461059316
2022-01-04,22.487940291310288
2022-01-05,28.023657543432257
2022-01-06,26.63047496176759
2022-01-07,26.142799735594192
2022-01-08,26.605137515745874
2022-01-09,25.93061822006671
2022-01-10,26.354158038295328
2022-01-11,29.825195144078922
2022-01-12,26.558481883890785
2022-01-13,25.57022883954042
2022-01-14,24.370556317536558
2022-01-15,26.231340082296537
2022-01-16,23.37387039077265
2022-01-17,27.613444158584848
2022-01-18,25.369313282074014
2022-01-19,24.151524392550986
2022-01-20,21.04558441084446
2022-01-21,18.80845216102608
2022-01-22,23.095438381824817
2022-01-23,21.22044750185584
2022-01-24,25.946204276049848
2022-01-25,23.6498417299788
2022-01-26,20.2131639550241
2022-01-27,21.56493078872627
2022-01-28,24.85831794457922
2022-01-29,21.80989225580059
2022-01-30,29.33271560020598
2022-01-31,27.145515485443156
2022-02-01,28.702173120996434
2022-02-02,25.93678975662452
2022-02-03,25.776011516996846
2022-02-04,29.26209660972297
2022-02-05,27.97303603295612
2022-02-06,29.119159697641138
2022-02-07,30.310272664187604
2022-02-08,31.042708201342418
2022-02-09,26.55734300434012
2022-02-10,23.80266511357533
2022-02-11,25.21512887077261
2022-02-12,27.912071048287963
2022-02-13,27.7565857101488
2022-02-14,28.402058628553156
2022-02-15,24.362337540145226
2022-02-16,26.22925103962134
2022-02-17,22.6026840605221
2022-02-18,22.45001224080449
2022-02-19,22.831609455214494
2022-02-20,25.193023766661995
2022-02-21,23.932180484909278
2022-02-22,22.59576253835057
2022-02-23,22.733422207278632
2022-02-24,19.592430955725526
2022-02-25,20.725578634935225
2022-02-26,19.99844601380645
2022-02-27,24.325306443119004
2022-02-28,23.241366273210062
2022-03-01,23.366825292172358
2022-03-02,22.79295131126133
2022-03-03,27.483950423739984
2022-03-04,26.877355424107215
2022-03-05,27.41145452869158
2022-03-06,29.403155009084475
2022-03-07,31.920727561012093
2022-03-08,24.56960916817956
2022-03-09,24.63710213412295
2022-03-10,25.916004371936662
2022-03-11,24.741874580698404
2022-03-12,25.001709759719226
2022-03-13,27.949672757298774
2022-03-14,29.95917383350597
2022-03-15,28.99152383490957
2022-03-16,24.61628229857488
2022-03-17,23.630202692239905
2022-03-18,24.041709351848834
2022-03-19,18.60597013867477
2022-03-20,26.081235994560444
2022-03-21,20.567038783686115
2022-03-22,23.910762447810818
2022-03-23,22.362959324533552
2022-03-24,21.26246977088107
2022-03-25,19.28343457325253
2022-03-26,23.3328162718061
2022-03-27,25.136572245854566
2022-03-28,26.64782274163677
2022-03-29,20.978337651639954
2022-03-30,21.2497262150402
2022-03-31,23.0929952402974
2022-04-01,23.002711644079955
2022-04-02,27.00051664036294
2022-04-03,28.726584828604214
2022-04-04,29.127801994094618
2022-04-05,28.988108048934347
2022-04-06,27.085617059990042
2022-04-07,24.150812040313625
2022-04-08,27.48004209128261
2022-04-09,26.706364338813103
2022-04-10,32.517796465196234
2022-04-11,31.680217155509368
2022-04-12,26.718764018037962
2022-04-13,26.20974084472211
2022-04-14,21.415708136607094
2022-04-15,24.246897462933386
2022-04-16,28.10965705317878
2022-04-17,26.313564153447956
2022-04-18,27.61527874520608
2022-04-19,26.553297001751297
2022-04-20,22.17686057259759
2022-04-21,22.686559801685164
2022-04-22,20.16099020131973
2022-04-23,22.464952836256113
2022-04-24,20.54250996634288
2022-04-25,22.624438696768998
2022-04-26,22.55420961319289
2022-04-27,22.999113844363198
2022-04-28,19.056221199094097
2022-04-29,22.528472284413137
2022-04-30,21.176986739159716
2022-05-01,25.766026906237975
2022-05-02,26.17370511301266
2022-05-03,30.26966609491775
2022-05-04,24.36422648972435
2022-05-05,24.962162808774146
2022-05-06,27.81683889364367
2022-05-07,26.411274644490103
2022-05-08,30.40147426181033
2022-05-09,29.6938034360546
2022-05-10,26.876483837860537
2022-05-11,25.183867716739122
2022-05-12,26.78062360943637
2022-05-13,23.99258245715243
2022-05-14,27.72735486022791
2022-05-15,27.24081588786072
2022-05-16,25.239748611288878
2022-05-17,25.094135365228915
2022-05-18,27.141096192990478
2022-05-19,21.413478883795207
2022-05-20,19.631809468839975
2022-05-21,23.057483559665794
2022-05-22,22.934004293185733
2022-05-23,21.176032385703255
2022-05-24,23.624311363638007
2022-05-25,19.28419186861049
2022-05-26,22.92553718774677
2022-05-27,23.439500844041067
2022-05-28,24.587125049367238
2022-05-29,25.38835696415353
2022-05-30,24.584045812855432
2022-05-31,26.44263461345475
2022-06-01,23.231597938293373
2022-06-02,26.411805289147768
2022-06-03,22.446389653210485
2022-06-04,30.132874022643534
2022-06-05,28.945719438901538
2022-06-06,28.418675563594583
2022-06-07,26.55818265358951
2022-06-08,28.251659401015793
2022-06-09,26.751056428707827
2022-06-10,27.512644116353805
2022-06-11,27.013449207637784
2022-06-12,27.158454708921486
2022-06-13,28.376395061379586
2022-06-14,24.057852684466976
2022-06-15,23.794426237225892
2022-06-16,20.74817730666598
2022-06-17,24.775840299203168
2022-06-18,24.16528847759033
2022-06-19,23.524691298052062
2022-06-20,23.314873326824003
2022-06-21,25.122164542272294
2022-06-22,19.878380462228282
2022-06-23,19.787956272628556
2022-06-24,21.711511290364225
2022-06-25,20.86610565021732
2022-06-26,26.860946596874577
2022-06-27,25.703435828245176
2022-06-28,27.807592741156714
2022-06-29,23.522065424272085
2022-06-30,28.624867071537675
2022-07-01,24.872337301712335
2022-07-02,26.594706056819597
2022-07-03,25.666959582002512
2022-07-04,29.700377248087882
2022-07-05,25.69476546007252
2022-07-06,26.408560838445265
2022-07-07,25.374989930427564
2022-07-08,28.207263695000428
2022-07-09,27.235023803466355
2022-07-10,28.601548203614556
2022-07-11,27.605618475349516
2022-07-12,26.897247852105515
2022-07-13,24.234896974506306
2022-07-14,27.301828437523916
2022-07-15,21.721907576759392
2022-07-16,22.07542473529787
2022-07-17,24.09629651801232
2022-07-18,27.36272112431569
2022-07-19,19.758805381336288
2022-07-20,24.31888934909563
2022-07-21,18.336347430536605
2022-07-22,18.464809107117112
2022-07-23,19.357018670335016
2022-07-24,24.60484395757736
2022-07-25,22.95952392052117
2022-07-26,23.954971049343083
2022-07-27,22.394286309018604
2022-07-28,16.99815876250329
2022-07-29,22.63039998528805
2022-07-30,25.7597105668223
2022-07-31,24.612301482615365
2022-08-01,25.483948381942653
2022-08-02,27.444401071209903
2022-08-03,29.48035819657336
2022-08-04,28.509399785657113
2022-08-05,29.710566087822592
2022-08-06,26.23891935087503
2022-08-07,30.65525899879235
2022-08-08,28.724627589860656
2022-08-09,29.849115719005354
2022-08-10,26.176992451996725
2022-08-11,21.10537940805611
2022-08-12,25.794014059392758
2022-08-13,21.468014981117292
2022-08-14,31.25889478884955
2022-08-15,31.738370596171627
2022-08-16,23.3448344819768
2022-08-17,22.269457918576194
2022-08-18,20.980288716844264
2022-08-19,21.57410620101161
2022-08-20,23.330298821809585
2022-08-21,20.272757500030355
2022-08-22,21.905398176678464
2022-08-23,24.69632004741477
2022-08-24,22.434208028506152
2022-08-25,19.501030953993492
2022-08-26,19.025136061387382
2022-08-27,24.507483944418404
2022-08-28,25.10175768514187
2022-08-29,28.91855927067435
2022-08-30,28.62268379181151
2022-08-31,26.755751315333114
2022-09-01,25.453702298287773
2022-09-02,26.243528323653976
2022-09-03,29.36327173644368
2022-09-04,27.956902103040047
2022-09-05,26.750988746044865
2022-09-06,30.041711692589146
2022-09-07,27.532069653699974
2022-09-08,26.24444495172886
2022-09-09,25.400498370753134
2022-09-10,22.261202659495048
2022-09-11,33.57105799782142
2022-09-12,33.05790132018147
2022-09-13,24.847331553004715
2022-09-14,25.17519975992745
2022-09-15,22.0077784995228
2022-09-16,22.179758504573197
2022-09-17,23.457150335747805
2022-09-18,26.112592433174484
2022-09-19,22.75858731920958
2022-09-20,24.314909106541684
2022-09-21,22.56399017249505
2022-09-22,15.099541186339282
2022-09-23,23.774941766953845
2022-09-24,24.085404351030476
2022-09-25,23.635872679431664
2022-09-26,25.82540610890465
2022-09-27,26.268968048080005
2022-09-28,23.56359410495948
2022-09-29,24.724699721504507
2022-09-30,20.554794713233083
2022-10-01,27.187172910239944
2022-10-02,31.014113200785925
2022-10-03,31.050640706097468
2022-10-04,29.15667132540287
2022-10-05,25.55476413778881
2022-10-06,26.174425676810444
2022-10-07,23.916900891857452
2022-10-08,27.839290394079068
2022-10-09,28.444268218689214
2022-10-10,29.7120953095187
2022-10-11,29.865662407418984
2022-10-12,26.457051592437267
2022-10-13,21.38707240777906
2022-10-14,20.877605937322176
2022-10-15,22.048333075162365
2022-10-16,23.05940811457794
2022-10-17,22.64335298423143
2022-10-18,27.25272176681365
2022-10-19,23.878321338627334
2022-10-20,18.882433272648296
2022-10-21,20.552090088831317
2022-10-22,27.10284133668223
2022-10-23,20.408197298011267
2022-10-24,25.511927599953815
2022-10-25,28.110955236305113
2022-10-26,23.209669058398326
2022-10-27,21.323725767845364
2022-10-28,25.976072890812482
2022-10-29,30.145230376369117
2022-10-30,27.41804133795419
2022-10-31,31.10012263730055
2022-11-01,26.178538599468673
2022-11-02,27.258241862377748
2022-11-03,27.18138085418088
2022-11-04,25.516600223932816
2022-11-05,26.924104505460637
2022-11-06,30.68266748129701
2022-11-07,31.297924150440874
2022-11-08,25.998463690327014
2022-11-09,24.680884666660305
2022-11-10,25.106629687857257
2022-11-11,20.9765126966015
2022-11-12,22.94961131247181
2022-11-13,26.591877668221386
2022-11-14,27.339934443746255
2022-11-15,24.65188957583772
2022-11-16,21.750917922887467
2022-11-17,23.817024196587987
2022-11-18,20.9875418276387
2022-11-19,20.960510468355725
2022-11-20,19.43756858012318
2022-11-21,25.14901681221959
2022-11-22,22.369125017176877
2022-11-23,21.205290957281576
2022-11-24,21.075550986299763
2022-11-25,20.49265756130614
2022-11-26,25.322536265563624
2022-11-27,26.285900234059074
2022-11-28,32.87787025570512
2022-11-29,25.77548340152839
2022-11-30,26.454712198536747
2022-12-01,24.064148445383072
2022-12-02,27.494040469452006
2022-12-03,26.078794449708006
2022-12-04,29.70188314507648
2022-12-05,30.08025416225344
2022-12-06,29.552989354072064
2022-12-07,22.971908662692474
2022-12-08,26.430496343224895
2022-12-09,25.403817620666956
2022-12-10,28.588817362332108
2022-12-11,25.59771194404173
2022-12-12,26.698049722461562
2022-12-13,23.323339605216617
2022-12-14,21.22419606104291
2022-12-15,22.543471849970725
2022-12-16,22.281331534354237
2022-12-17,22.121181798903343
2022-12-18,23.99377676171226
2022-12-19,24.590227363649902
2022-12-20,24.42237215411847
2022-12-21,22.447634508806445
2022-12-22,24.029253268141137
2022-12-23,21.15764047213156
2022-12-24,26.217223840263394
2022-12-25,24.70129874000787
2022-12-26,27.44773280467966
2022-12-27,26.40933884424506
2022-12-28,26.28930501709973
2022-12-29,24.33705092951258
2022-12-30,28.7208374316056
2022-12-31,23.162263050918032
2023-01-01,30.88221145545776
2023-01-02,31.199362242232823
2023-01-03,30.38775965378167
2023-01-04,30.61938997494725
2023-01-05,28.555453901735383
2023-01-06,23.22461320825147
2023-01-07,29.47970721557045
2023-01-08,27.444880204343782
2023-01-09,28.610514108574307
2023-01-10,27.387724754611618
2023-01-11,22.442051410295427
2023-01-12,19.685549324009976
2023-01-13,22.527127850511828
2023-01-14,23.52566403712852
2023-01-15,23.18230656693676
2023-01-16,22.526179011483254
2023-01-17,23.026571685562306
2023-01-18,20.547987544722133
2023-01-19,19.95255470503124
2023-01-20,24.279231995919574
2023-01-21,23.56867685424865
2023-01-22,27.010599356087095
2023-01-23,23.943225084228025
2023-01-24,27.856875010307697
2023-01-25,23.46555523006425
2023-01-26,23.315904403526044
2023-01-27,24.183125918100156
2023-01-28,26.95484346931048
2023-01-29,25.231752267441422
2023-01-30,29.182062903187344
2023-01-31,29.827929435710093
2023-02-01,29.84220549511073
2023-02-02,26.938390863783
2023-02-03,25.089020806859835
2023-02-04,25.096274203576044
2023-02-05,29.82532645104172
2023-02-06,25.564230975304664
2023-02-07,27.35817380289949
2023-02-08,26.42175534964768
2023-02-09,23.88304003007451
2023-02-10,22.914932114562756
2023-02-11,20.585397324677995
2023-02-12,25.25087701444481
2023-02-13,27.304044447139916
2023-02-14,23.14701010791603
2023-02-15,20.70486239809713
2023-02-16,21.005770238117627
2023-02-17,21.859626893615633
2023-02-18,23.79407898780897
2023-02-19,21.96875377934119
2023-02-20,23.380069336056085
2023-02-21,24.24381778667331
2023-02-22,24.367962227150482
2023-02-23,24.643364788414225
2023-02-24,21.602765346892124
2023-02-25,26.78834698486044
2023-02-26,29.84112929415336
2023-02-27,28.743251883366604
2023-02-28,27.195895028263962
2023-03-01,24.415399967287247
2023-03-02,27.807845968445235
2023-03-03,26.275450494536017
2023-03-04,30.899767330800834
2023-03-05,33.12538201866387
2023-03-06,27.137896758569088
2023-03-07,27.530090312058867
2023-03-08,26.155706290615377
2023-03-09,22.720683263754434
